"screen_name","followers_count","text"
"im_angxious",517,"US excess mortality is back to 0% for the first time since January. #Covid https://t.co/S5wYZfV4Mm https://t.co/CoUPZ7GaJZ"
"SargeantFriday",20257,"US excess mortality is back to 0% for the first time since January. #Covid https://t.co/S5wYZfV4Mm https://t.co/CoUPZ7GaJZ"
"getitspotless",157,"Our newest post highlights why it is more important than ever to invest in quality medical and dental #Cleaning services and solutions. Keep your patients and staff feeling safe during #COVID-19 and beyond. Get a FREE quote on #CleaningServices today! https://t.co/lAklKHMtB6 https://t.co/fRF2O3V5hu"
"JonaR029",916,"US excess mortality is back to 0% for the first time since January. #Covid https://t.co/S5wYZfV4Mm https://t.co/CoUPZ7GaJZ"
"DrABrashear",1267,"Looking forward to this timely #COVID discussion about what we've learned and what's ahead. I hope you can join us on 9/24 at 11 a.m. PST! @UCDavisMed @UCDavisHealth @ucdavis @UofCAHealth https://t.co/kluXLLdaZ7"
"thingstrumpsay",1626,"US excess mortality is back to 0% for the first time since January. #Covid https://t.co/S5wYZfV4Mm https://t.co/CoUPZ7GaJZ"
"mrncaputo",115,"Did no one anticipate that if Ontario schools require a COVID test for every runny nose and cough then the demand for testing will go up? It’s basic supply and demand. There is no reason for 8 hour wait times. @fordnation get these centres staffed up appropriately #covid"
"cleaverbeliever",232,"US excess mortality is back to 0% for the first time since January. #Covid https://t.co/S5wYZfV4Mm https://t.co/CoUPZ7GaJZ"
"cocopuffs4u",58,"#200KDeadAmericans #Covid #COVID<U+30FC>19 3 months ago I knew someone that knew someone that tested positive for covid.  Last month I knew someone n this month I KNOW someone.  As in actual family.  No one is safe. <U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F><U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F><U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F>"
"cocopuffs4u",58,"#Covid is no where near gone.  My son, niece n nephew all tested positive last week.  And no, they do not live together or in the same state for that matter. #200KDeadAmericans #COVID19Pandemic"
"Legalmamma",4706,"100%!
I've been saying this for weeks! 

#COVID IS NOW A #PreExistingCondition https://t.co/F3KEUf0eHN"
"JohnBGood13",283,"#iBullshitYouNot 

If you’d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner’s office is a good place to start. It reports the (anonymized) death certificates of #Covid cases. Just a few of the most recent... https://t.co/zjRLli2pt0"
"empowereringyou",67,"The #CDC is a shit show these days! This is science, and how the hell can we expect people to trust them when they’re so damn wishy washy!?! #MaskUp #Covid https://t.co/JC4yUNHZAe"
"rahagar",13287,"If you’d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner’s office is a good place to start. It reports the (anonymized) death certificates of #Covid cases. Just a few of the most recent (sorry about the glare): https://t.co/iUe4wQkO0B"
"CcCodywayne91",32,"It is delusion if you think #COVID is about a virus. In the span of 5 months society has restructured to mandatory face coverings, full on censorship, health privacy violations &amp; restriction &amp; tracking of your movement. This isn’t about health, they’re installing a new government"
"Whisper61763243",736,"#COVID MARSHAL? Enforcement Officer #Capita Plc 3.2 
London £45,000 a year - We’re Supporting Our Clients As They Adapt To A NEW WORLD In The Wake Of #COVID19. https://t.co/DP3l61QfNo #PatrickVallance #ChrisWhitty #NHS #TheChase https://t.co/YhrArdXVDi"
"a99kitten",1525,"If you’d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner’s office is a good place to start. It reports the (anonymized) death certificates of #Covid cases. Just a few of the most recent (sorry about the glare): https://t.co/iUe4wQkO0B"
