"screen_name","followers_count","text"
"j_sapier",1263,"#Covid_19 Why 10pm curfew? Does the virus only come out after that time?"
"sempredepor",93,"I was shocked today to discover that the idiots who still support Brexit are active in the ""Covid-19 is ""exaggerated"" / ""fake"" / ""a conspiracy""  / ""nothing to worry about"" message boards.  

There is a thread of stupidity running through the UK right now."
"GWBridgeUK",4111,"@bobscartoons @Dollymixture200 It's called science.

I know that you are only a cartoonist for what was once a great newspaper.

#Covid_19 #COVID19 #COVID2019 #CoronaVirus #COVIDIOTS"
"nancywolford8",535,"BREAKING: The CDC has removed from its website the undisputed scientific FACT that Covid-19 is spread by airborne and aerosol transmission. WHY?"
"Jane_S_Brighton",170,"'I try to use the feeling of existential solitude...to help me ‘process’ what has happened to me during my diagnosis &amp; treatment &amp; to ready myself for whatever comes next.' My latest blog on #cancer survivorship, #lockdown &amp; #Covid_19 @EmploymtStudies https://t.co/9miApDHFAI"
"Leefburgess",1757,"What's on LawSchoolTools? Volunteering for the Election During COVID-19: https://t.co/tPLXAtS5RB https://t.co/2VjvAawlLH"
"jpwilloughby",1792,"BREAKING: The Atlanta Fed forecasts a record national GDP growth rate of 32% for Q3, meaning the third quarter will be the mother of all economic rebounds thanks to businesses going from a total lockdown to a new COVID-19 normal. The Oct 29 GDP release will be an October Surprise"
"sltcestcool",211,"Trump is fighting harder to end Tik Tok than to end COVID-19"
"cfswent",54,"BREAKING: The Atlanta Fed forecasts a record national GDP growth rate of 32% for Q3, meaning the third quarter will be the mother of all economic rebounds thanks to businesses going from a total lockdown to a new COVID-19 normal. The Oct 29 GDP release will be an October Surprise"
"Dranem18",28,"DR Oz: ‘The vaccine increases your chances of getting Covid-19’ <U+2935><U+FE0F> https://t.co/mdZYny87B0"
"Wunsa7",65,"Airline workers have worked through the COVID-19 pandemic. Now, it’s Congress’s turn to take care of these heroes. They need to pass a clean extension of the airline #PayrollSupportProgram now. #PSPextension #ReliefNow @MachinistsUnion"
"Wunsa7",65,"@MarkWarner
 Airline workers have worked through the COVID-19 pandemic. Now, it’s Congress’s turn to take care of these heroes. They need to pass a clean extension of the airline #PayrollSupportProgram now. #PSPextension #ReliefNow @MachinistsUnion"
"Wunsa7",65,"@ChrisVanHollen Mechanics,Logistics and all other Airline workers have bravely worked through the COVID-19 pandemic. It time for Congress to support these heroes by passing an extension of #PayrollSupportProgram Failure by Congress to act will result in massive layoffs on Oct.1st"
"Wunsa7",65,"@CongBoyle Mechanics, Logistics and all other Airline workers have bravely worked through the COVID-19 pandemic. It time for Congress to support these heroes by passing an extension of #PayrollSupportProgram Failure by Congress to act now will result in massive layoffs on Oct.1st"
"Wunsa7",65,"@SpeakerPelosi Airline workers have worked through the COVID-19 pandemic. Now, it’s Congress’s turn to take care of these heroes. They need to pass a clean extension of the airline #PayrollSupportProgram .my wife has work for 20+ years please help.she work for united."
"Wunsa7",65,"@senrickscott  – [INSERT SENATOR’S TWITTER HANDLES] Airline workers have worked through the COVID-19 pandemic. Now, it’s Congress’s turn to take care of these heroes. They need to pass a clean extension of the airline #PayrollSupportProgram .my wife has work for 20+ years"
"Wunsa7",65,"@senatemajldr 
 Airline workers have worked through the COVID-19 pandemic. Now, it’s Congress’s turn to take care of these heroes. They need to pass a clean extension of the airline #PayrollSupportProgram now. #PSPextension #ReliefNow @MachinistsUnion"
"Wunsa7",65,"@timkaine
 Airline workers have worked through the COVID-19 pandemic. Now, it’s Congress’s turn to take care of these heroes. They need to pass a clean extension of the airline #PayrollSupportProgram now. #PSPextension #ReliefNow @MachinistsUnion"
"Wunsa7",65,"@afa_cwa @HouseDemocrats @HouseGOP @SenateDems @SenateGOP @AppropsDems @HouseAppropsGOP @WaysMeansCmte @WaysandMeansGOP @SpeakerPelosi @PelosiPress @StenyHoyer @LeaderHoyer @WhipClyburn @SteveScalise @GOPLeader @SenSchumer @senatemajldr @McConnellPress @FlyingWithSara @JoeBiden @realDonaldTrump @WhiteHouse @USTreasury @stevenmnuchin1 @RepGregoryMeeks @GregMeeksNYC @RepGraceMeng @Grace4NY @chuckschumer @SenGillibrand @OversightDems @GOPoversight @senjudiciary @JudiciaryDems @SenateApprops @SenateAgDems @SenateAgGOP @commercedems @SenateCommerce @TransportDems @TransportGOP @RepPeterDeFazio COVID-19 continues to threaten our health, jobs, &amp; industry. Passenger travel is still only about 20% of what it was last year. W/o an extension of #PayrollSupportProgram, our jobs are at risk on 10/1. @afa_cwa Congress protect jobs: https://t.co/JIbwErWbll #WorkersFirst"
"Wunsa7",65,"– @senatemajldr @SenateFloor @SenateGOP 
 Airline workers have worked through the COVID-19 pandemic. Now, it’s Congress’s turn to take care of these heroes. They need to pass a clean extension of the airline #PayrollSupportProgram now. #PSPextension #ReliefNow @MachinistsUnion"
"CHURCK2009",3,"We are honored to be recipients of the 2020 Certificate of Excellence award and are proud to report zero #covid_19 cases.
#cleaners #florida #smallbusiness https://t.co/oFJb68ep0M"
"AmitaNasir",146,"Biden on Trump as US reaches 200,000 deaths from COVID-19: ""Trump panicked. The virus is too big for him… he just wasn't up to it. He froze."""
"artandsoultoo",49,"COVID-19 has exacerbated the issues surrounding mental health and highlighted our nation’s ineffective approach to mental well-being. Tune in to my virtual town hall this Thursday to participate in an open conversation about mental health and addiction. https://t.co/Se9SdkRstK https://t.co/9mZG3mkeT3"
"RhunJones",92,"Alert: COVID-19 is on the rise in Cardiff and the Vale with 25.8 cases per 100,000 of the population over the last 7 days.

Help slow the spread of infection now to prevent local lockdown.

Read more here: https://t.co/CTW4Y5Im8Q https://t.co/33v7fxTQBu"
"marshawright",543609,"#ADVERTISING NEWSWIRE: Royal Caribbean and Norwegian Release Covid-19 Safety Guidelines for Cruises https://t.co/Cym0EKuY6P #marketing #socialmedia #influencermarketing https://t.co/ymUOum4AEb"
"lass_agne",70,"I really don’t understand how this 10pm curfew will curb #Covid_19 infection rate <U+0001F937><U+0001F3FB><U+200D><U+2642><U+FE0F>"
"famine_on_mars7",25,"BREAKING: The Atlanta Fed forecasts a record national GDP growth rate of 32% for Q3, meaning the third quarter will be the mother of all economic rebounds thanks to businesses going from a total lockdown to a new COVID-19 normal. The Oct 29 GDP release will be an October Surprise"
"methodproducts",31348,"@Dani_CALyfornia @Target hi Dani - you are preaching to the choir. we are hearing this from other consumers and unfortunately due to COVID-19, they has been a steady increase in demand, making it harder to find our products. we're working on it though! keep your eyes peeled. <U+0001F44D>"
"darby1044",8963,"@ChuckGrassley Sooo... now that great ""Mystery of the Dead Pidgin"" has been solved - what do you think?? GOP Senator Grassley (seriously, 3rd/presidential succession) maybe a little attention to:
-COVID-19 200K dead, 7M infected
-10s MILLIONS unemployed
-NEG 6% GDP
How about economic stimulus?"
"AhaYah_7",199,"Hal Turner Radio Show - ""They've Killed God; I Can't Feel God; My Soul Is Dead"" AstraZeneca Halts COVID-19 Vaccine Trials after Second Volunteer ""Develops Neurological problems"" https://t.co/QEMnPi8shx"
"The_Major_Knows",176,"Another excellent thread, wake up people the CMO and CSO are incompetent. Their presentation today was riddled with errors, omissions and lies. They are well and truly in the credibility coffin @uksciencechief @CMO_England #Covid_19 https://t.co/97WCsAqicH"
"ScepticalAussie",15442,"UPDATE: Worth pointing out that today's COVID-19 case numbers in Victoria are ~70-fold lower than they were at the peak of the second wave. These measures are working. The Premier and CHO were right; the opposition are foolhardy."
"aglamiyicam",195,"Covid-19 negative but depression positive"
"MrCauthers",71,"A trial in Greece shows a long-used tuberculosis vaccine may cut respiratory infections, raising hopes for similar protection against Covid-19. https://t.co/3tAOWCuJWV"
"joehilarious",308,"BREAKING: The Atlanta Fed forecasts a record national GDP growth rate of 32% for Q3, meaning the third quarter will be the mother of all economic rebounds thanks to businesses going from a total lockdown to a new COVID-19 normal. The Oct 29 GDP release will be an October Surprise"
"NccwnR",46,"We need your support, @NCCWN are calling on the Government to ease COVID-19 restrictions in maternity services, to allow birthing partners be present at all pregnancy related appointments, scans, full labour &amp; birth as soon as possible. Find out more here https://t.co/UK9LmKo6zW https://t.co/wK4nNivvXf"
"jc_camaro7",389,"Please RT! We’re looking for people who had, or think they might have had, SARS-CoV-2 (COVID-19) infection so we can determine what kind of antibodies/immunity you might have against the virus. Contact below or PM me if you have questions. <U+2066>@MUNMed<U+2069> #covid19nfld https://t.co/VWowPFADhP"
"carol76210738",33,"Biden on Trump as US reaches 200,000 deaths from COVID-19: ""Trump panicked. The virus is too big for him… he just wasn't up to it. He froze."""
"peacetravel10",88,"The VA of CT is setting a COVID-19 testing example for others to follow. Rapid testing &amp; results are key to getting this pandemic under control. When in doubt, take the test—even if you have no symptoms. https://t.co/93JulIBiEp"
"RLymangrover",818,"USA TODAY: COVID-19 survivors may need to get screened for heart damage

https://t.co/o9wx2OQ6mX"
"tomnbev",2234,"@PressSec @realDonaldTrump <U+2705>EPIC FAIL by Trump: 200K Americans dead and numbers of infections steadily rising.
<U+2705>No plans for opening schools.
<U+2705>Masking ignored by Trump, makes wearing them a political issue.
<U+2705>Still no national plan for stopping COVID-19."
"EileenQuirke3",86,"The top 11 states with the highest per capita rates of confirmed cases of COVID-19 all voted for Trump in 2016.

Nine of those states were states of the Confederacy."
"EileenQuirke3",86,"We’re still in the throes of a global pandemic with no end in sight. We still don’t know the long term health impacts of COVID-19. We simply can't afford to let Donald Trump and Republicans ram through a Supreme Court justice who will gut health care for millions of Americans."
"TheStandingOne",1318,"So happy to see all the positives surrounding @neprowrestling! One of the most successful wrestling schools in the country just keeps on trucking along. Congrats and good luck @chasedelmonte &amp; @MaxSmashmaster! Give them all a follow! 

https://t.co/UxOaSup8rH"
"TwinkyGorilla",736,"Trump knew how deadly COVID-19 was in February.

Not only did he downplay it, he blocked steps that would have saved lives.

@RepRoKhanna and I have bills to send masks to the American people, just as the USPS wanted to do in April.

It made sense then, and it still does. https://t.co/ilFrJbnLMm"
"Kat_Bee_123",4071,"I really don’t understand how this 10pm curfew will curb #Covid_19 infection rate <U+0001F937><U+0001F3FB><U+200D><U+2642><U+FE0F>"
"RwandaUN",41439,"On the sidelines of #UNGA, Amb @VRugwabiza joined Amb @NDeRiviere and @johnedwardfrank at the @ConcordiaSummit to discuss the evolving global multi-stakeholder models &amp; explore how they are critical for achieving global solutions particularly in the face of COVID-19
 #UNGA https://t.co/iWqEpg9fYV"
"shannonsidenews",9557,"Leitrim GP says county’s Covid 19 rate should stabilise as Roscommon records seven new cases
https://t.co/NxyE16x6OS https://t.co/ZkS15kLp0x"
"dduane",18477,"<U+0001F6A8>BREAKING: In huge victory for @TheDemocrats and Wisconsin voters, federal judge:

<U+2705>extends online and mail in registration deadline from 10/14 to 10/21.
<U+2705>extending ballot receipt deadline to November 9, so long as postmarked on or before election day.
https://t.co/mVnEZIHGrk"
"PauliticalEye",384,"Amid the COVID-19 pandemic that according to the World Health Organization has killed more than 900,000 people globally, United Nations peacekeepers are still deploying around the world. 
https://t.co/r24ASt2VaR"
"Dr_AmyD",3510,"Trump-loving former GOP official who hated face masks dies from COVID-19. https://t.co/X87DcJUKlS"
"Freya17401008",2481,"He’s also delivered 4600 COVID-19 dead to grieving Ohio families. https://t.co/5QSzyhnC7R"
"NZScienceLearn",8027,"Yesterday's Bulletin for Schools: https://t.co/adT1ZA9bxi
• Key messages – COVID-19 announcement
• 10 things you need to know about Alert Level 1
• Things you need to know about Alert Level 2 (Auckland)
• Gatherings and events
• Exams at Alert Levels 1, 2 and 3
and more <U+0001F600> https://t.co/EeKr7c80da"
"For2000years",3654,"Every crisis—from 9/11 to COVID-19—has become a make-work opportunity for the government to expand its reach and its power at taxpayer expense while limiting our freedoms at every turn. https://t.co/gYDjidljry"
"MariaSammutMasc",2397,"In collaboration with @PennSP2 and @PennSAS, @pennvet has launched two new dual-degree programs to prepare students for leadership roles within the environmental, social services, and public health sectors. https://t.co/dLIO6rjPMQ"
"dada90620959",2461,"in his sleep Biden on Trump as US reaches 200,000 deaths from COVID-19 @Acosta choking
: ""Trump panicked. The virus is too big for him… he just wasn't up to it. He froze.""am i top reporter now<U+0001F47D> https://t.co/9UtPgP2JGQ"
"HudsonCarlosda3",7,"@fariaskelven COVID 19"
"gaypatriot86",162,"@lalovestrump Here comes the COVID-19 propaganda again...."
"gaypatriot86",162,"@MayorOfLA Here comes the COVID-19 propaganda again...."
"gaypatriot86",162,"Here comes the COVID-19 propaganda again...."
"Jeannie75622401",148,"Anyone read the bill? @DanielAndrewsMP is giving himself powers to take away the kids of people who oppose the curfew that neither Vicpol or CHO wanted, with no appeal to court and no limitation/end date - just a belief you might not comply #springst 

https://t.co/UMaEVtuNLs"
"arsalan_winlust",75,"""Oooops, we published science-based policy by error, please ignore."" -- CDC

https://t.co/7bYvUr2UuG"
"ttexgirl",3,"We’re still in the throes of a global pandemic with no end in sight. We still don’t know the long term health impacts of COVID-19. We simply can't afford to let Donald Trump and Republicans ram through a Supreme Court justice who will gut health care for millions of Americans."
"peoplmovr",394,"We’re still in the throes of a global pandemic with no end in sight. We still don’t know the long term health impacts of COVID-19. We simply can't afford to let Donald Trump and Republicans ram through a Supreme Court justice who will gut health care for millions of Americans."
"mojobijuan",1741,"@politico Hey @GovRonDeSantis , how about increasing penalties for crimes committed during COVID-19, like lying to the American people, repeatedly, even in the face of over 200,000 deaths? You’re liable too, having twisted COVID-19 data to suit your message"
"ssolothomas",209,"@7StatesPower @ChargePointnet @RocketCenterUSA @HSVUtilities We need more Level 3 charging stations on the Inner-State Highways. Only 1 on I70 between KC &amp; STL. Thanks  to @GovParsonMO &amp; his Climate change deniers &amp; Covid 19 deniers. More in KC than STL due to forward thinking KC power company Evergy, Commerce Bank &amp; Walmart, go figure"
"dennis1160",19,"Bien is as bad Schiff! Both can't stop telling lies! Biden BS with numbers who have died cause by virus covid 19"
"jimlahe66397316",68,"Trudeau Liberals Spending Your Taxpayer Dollars For 'Coronavirus Study' On ""How The Black Lives Matter Protests Have Given Quebec Black Young Adults A Chance To Recover From The Damaging Psychological Effects Of The Covid-19 Pandemic"". https://t.co/kcwX4irFmJ"
"ItsKyleEm",1350,"Bouncers turning away Covid-19 when it tries to come in the Pub at 5 to 10

 https://t.co/J6R5NdIbqU"
"wfw30",250,"Biden on Trump as US reaches 200,000 deaths from COVID-19: ""Trump panicked. The virus is too big for him… he just wasn't up to it. He froze."""
"galvin_judith",8,"We mourn the mothers and fathers, brothers and sisters, grandparents, friends, and loved ones who have been lost to COVID-19.

It did not have to be this way. https://t.co/jm0jVdfoR6"
"OffTheBUSnews",211,"They protect street vendors from La Villita and North Lawndale from the contagion of covid-19 | T...
https://t.co/TjApHrlpoc"
