"screen_name","followers_count","text"
"rococopierrette",1117,"Todays #corona masks are sooo boring! Some #earlymodern inspiration for #COVID19 masks coll. @metmuseum. #corona #breekdegolf #Covid_19 https://t.co/Y7AuwvtUqz"
"Good_Policies",8319,"#CleanCooking can only be achieved by using #renewableenergy to prevent further <U+0001F333><U+0001F334> #deforestation and improve #health https://t.co/X4tGhxPgs9  <U+0001F373> @cleancooking @Brot_furdiewelt @@SEforALLorg #corona #COVID19 @Good_Policies https://t.co/SRzMRsuJ2b"
"chat_anubhav",40,"I go out and see people and then realise, either they have received the #COVID19vaccine and hiding it from me, or the #corona about which I read and watch is happening in parallel universe."
"ponyexpress_gsc",19068,"Right.... because Bill Gates can make an educated decision on the subject right? He’s a businessman. Last I checked, he didn’t attend medical school. #COVID #Corona #Coronavirus #COVID19 https://t.co/I0dduO27GO"
"viralvideovlogs",3838,"The price for room and ICU mentioned in price board of hospital and price imposed in final bill are true example of corruption and bulling..
#nmc #ngp #nmcngp #ngppolice #cmomaharashtra #PMOIndia #corona #COVID19 #AajTak #zeenews #IamSoMiddleClass #Corruptionindia #Corruption https://t.co/I4gL5ieomu"
"viralvideovlogs",3838,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F> Wales Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #Wales #Corona #covid19 #Covid19UK https://t.co/TXoYipAtIJ"
"viralvideovlogs",3838,"There is NOTHING political about reopening schools. Trust them. #COVID19 #Corona #ReOpenSchools 
https://t.co/v9FFYXVFxl"
"viralvideovlogs",3838,"When a company can market a Sodium Hypochlorite based medication for Covid 19 treatment you know what is wrong with the voting system #Covid_19 #COVID19 #coronavirus #Corona #vaccine #medication"
"Saamya15",6,"I believe, theatre owners have gone mad if they are asking govt to give permission to open theatres. Govt closed theatres when 500 #Corona cases were in the country. And they are asking to open when 50lakh #Corona cases are in the country. It’s really very funny behaviour of them"
"Virgini25568889",12514,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F> Wales Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #Wales #Corona #covid19 #Covid19UK https://t.co/TXoYipAtIJ"
"Subash_offl",645,"#CSK 's #DeepakChahar who recovered from #Corona is doing well in the training.. He is fit and available for #CSK 's 1st match..

#CSK 's other player #RuturajGaikwad is yet to clear his #Corona tests.. He continues to be in quarantine.. Hope he recovers soon.."
"Msr01724",86,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"Tejas_K87",41,"Why are the rising #corona cases in rural India worrying? According to the Centre’s National Health Profile, in rural India, there is only one bed available for 3,100 people, versus 1 for 1,700 people in cities. #Bihar has 1 bed for 18,000 people. Read: https://t.co/3gadXLxw6C https://t.co/iOfH0VsLXO"
"Willem09083493",1,"We all know... 
Reblog if you love mom and son
.
.
@realmomsonstory 
@HotSonMom1 
@BigAssMomSon 
@mariamomson 
@incest69_ 
#Covid_19 
#TheBoys
#Corona 
#Havertz 
#messi
#MessiSiBartoNo https://t.co/ivvJdAV4hI"
"tomen_mark",8,"Alan Walker normally wears mask and now it's been advised for everyone to wear mask to prevent Corona Virus. ""Don't Worry Alan, you are safe from COVID-19 <U+0001F606><U+0001F606><U+0001F606>""
#AlanWalker #music #dj #awm #pubg #coronavirusindia #corona #COVID19 #alanwalkermusic @IAmAlanWalker https://t.co/xG6wVrrLdU"
"ushakawamoto7",0,"Aden is in desperate need for help. People are dying and most hospitals are closed. Not accepting patients. People don’t know what to do. No regulations. Today’s death toll is 60 #HelpAden #prayforaden #Covid_19 #Corona #coronavirus #aden #yemen @WHO https://t.co/xdTjQ8Vohu"
"ErrolStock",838,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F> <U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C>Scotland Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #Scotland #Corona #covid19 #Covid19UK https://t.co/6tyyyul17T"
"Gabber07",409,"New #COVID19 cases September 15 2020
18 countries with 2000 or more new #COVID<U+30FC>19 cases

Source:
https://t.co/YJCOFqNQ4h

#Corona #coronavirus #COVID__19 #CoronaVirusUpdates #COVID2019 #CoronavirusPandemic #Covid_19 #COVID #CoronavirusUSA #SARSCoV2 #India #Brazil #Argentina https://t.co/ersAVkljAs"
"vishivishvish",1,"Coronavirus vaccine could be ready in a month - Donald Trump &gt; Times of India https://t.co/JCEVGdRDE4 | #Trump #DonaldTrump #POTUS #US #USA #Elections #USElection #Corona #Virus #Coronavirus #COVID #COVID19 #Vaccine #CoronavirusVaccine #China #Wuhan #AstraZeneca"
"PoliceInspForum",12796,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F> <U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C>Scotland Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #Scotland #Corona #covid19 #Covid19UK https://t.co/6tyyyul17T"
"ChandaS16547740",63,"I believe, theatre owners have gone mad if they are asking govt to give permission to open theatres. Govt closed theatres when 500 #Corona cases were in the country. And they are asking to open when 50lakh #Corona cases are in the country. It’s really very funny behaviour of them"
"sanatanbhartiya",31,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"tanb2002",162,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F> <U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C>Scotland Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #Scotland #Corona #covid19 #Covid19UK https://t.co/6tyyyul17T"
"Chris24532209",665,"@OrwellianTimes @Axeman55823430 @TanisMaxfield @jjhorgan @Z953VAN @DailyHiveVan @Puglaas @LauraLynnTT @SarahMcLachlan The answer:

30 people died of #COVID in Canada during the week Aug 30 to Sep 5.

28 were over 80 yrs old
1 was 60 to 79 yrs
1 was 40 to 59 yrs

5,500 people die during an average wk in Canada.

Mass psychosis run by media and politicians.

#cdnpoli #corona https://t.co/36CZvoYOEs"
"YKR90",65,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"RatraVaibhav",32,"“Age Is Just A Number” Proves 90 Plus Patients Defeating Coronavirus In Mumbai: 

@snehaku97162180

#corona #covid #covi19 #CovidTesting  #covidvaccine #indiafightscorona #realheros #mumbai #frontlinewarriors #coronaoldpatients 

https://t.co/xUg9p03tg6"
"UKCovid19Stats",67865,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F> <U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C>Scotland Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #Scotland #Corona #covid19 #Covid19UK https://t.co/6tyyyul17T"
"UKCovid19Stats",67865,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F> Wales Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #Wales #Corona #covid19 #Covid19UK https://t.co/TXoYipAtIJ"
"UKCovid19Stats",67865,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F> <U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C>Scotland Coronavirus (COVID-19) overview of individuals who have had at least one lab-confirmed positive test result, by date reported. #coronavirus #Scotland #Corona #covid19 #Covid19UK https://t.co/Y9zZBV7KNm"
"UKCovid19Stats",67865,"Northern Ireland Coronavirus (COVID-19) overview of individuals who have had at least one lab-confirmed positive test result, by date reported. #coronavirus #NorthernIreland #Corona #covid19 #Covid19UK https://t.co/s4iPVnS9z8"
"HatsOfDefiance",2011,"@joymorrissey Or ensure we had the highest #Corona death rate in Europe. Or the most severe economic recession among the leading G7 countries. Or delivered the #PPE fiasco. Or the #carehome fiasco. Or the A levels &amp; GCSE #Exams fiasco. Or the #TrackingApp fiasco. Or the #COVID #Test fiasco..."
"4dc67d8bcf54430",362,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"PulikantiGreesh",807,"#Delhi #SOS #COVID19India
Need A+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Jaipur Golden Hospital. 
Contact 9899333416
Via
@drmudita
 #Bloodpointorg #Bloodmatters"
"PulikantiGreesh",807,"#Gadag #Karnataka #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Chirayu Hospital.
Contact 9482531770
via
@LPanchaxari
#Bloodpointorg #Bloodmatters"
"PulikantiGreesh",807,"#Delhi #SOS #COVID19India
Need B+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Fortis Hospital, Vasant kunj.
Contact 7827756295 
via
@Rakshit88681554
 #Bloodpointorg #Bloodmatters"
"PulikantiGreesh",807,"#Visakhapatnam #SOS #COVID19India
Need O+ve #blood #plasma from #covidrecovery  patient
Illness #Corona
At Apollo Health City. #Vizag 
Contact 9886483448
via
@PawanKalyanTM
 #Bloodpointorg #Bloodmatters"
"PulikantiGreesh",807,"#Noida #SOS #COVID19India
Need AB+ve #Blood #plasma from #covidrecovery  patient
Illness #Corona
At Yatharth Super Speciality Hospital #GreaterNoida
Patient Name Dr. Ajay (Padamshri Awarded)
Contact  9810157668
Via 
@mishra_nikil @AdityaPatel_9_6
 #Bloodpointorg #Bloodmatters"
"nidhagan",23,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"Kichu73417248",188,"After #USA , #India becomes the 2nd country to report 5 Million Total #Corona cases..

#CoronavirusIndia"
"alert_covid19",14,"COVID19 Report(09/16/2020 01:24:16):: Confirmed(^)(+380492): 29571333, Deaths(^)(+7737): 934986, % Died(v)(-0.02): 3.16
 #coronavirus #covid19 #breaking #covid_19 #coronavirusoutbreak #covid2019 #coronaviruspandemic #corona #coronavirusupdates #pandemic"
"alert_covid19",14,"COVID19 Report(09/16/2020 11:24:30):: Confirmed(v)(-12464): 29558869, Deaths(v)(-129): 934857, % Died(&lt;-&gt;)(0): 3.16
 #coronavirus #covid19 #breaking #covid_19 #coronavirusoutbreak #covid2019 #coronaviruspandemic #corona #coronavirusupdates #pandemic"
"n0cturex",11,"Restart 2020 it has a virus.
#corona
#coronavirus 
#COVID19"
"ghansh331",40,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"NayanG321",2,"#TestOneTestAll
@AmdavadAMC adopts most innovative ways of #Corona testing amongst India cities. After public gardens now ‘Kadia Nakas-mason gathering &amp; hiring points,’ #Coronatesting started for hundreds of people in Amdavad.
#LifePositiveCoronaNegative @PMOIndia @CMOGuj https://t.co/Wj3aNJl66z"
"chitraguptsoni",74,"@Kaalateetham One question Sir. There's a message on WA that this #coronavirus disease is a scam &amp; hospitals are removing body parts of deceased patients in name of Corona. Do bodies of #Corona deceased are given after postmortem? Please reply. @MoHFW_INDIA @PIBFactCheck @WhatsApp @PMOIndia"
"VenuOfficial",1252,"Setting up the fitness goals for Young gen, Action Hero @VishalKOfficial's father @GkReddy1939 (82yrs) shows his fit body.

Being a #Covid survivor, he explains how to keep body energized during the #Corona

<U+0001F449> https://t.co/6lUJJGG5ca

@gkfitindia #vishal 
@arun_8778 @sriyareddy https://t.co/vI46hyFbx7"
"i_petersen",632,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F> <U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C>Scotland Coronavirus (COVID-19) overview of individuals who have had at least one lab-confirmed positive test result, by date reported. #coronavirus #Scotland #Corona #covid19 #Covid19UK https://t.co/Y9zZBV7KNm"
"i_petersen",632,"Northern Ireland Coronavirus (COVID-19) overview of individuals who have had at least one lab-confirmed positive test result, by date reported. #coronavirus #NorthernIreland #Corona #covid19 #Covid19UK https://t.co/s4iPVnS9z8"
"hellboy300",1118,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"JordanT1290",98,"I've encountered a few folks this semester on campus talking about their lack of technology &amp; being envious of young people ""like me"" in the age of #corona-demia but honestly I bumped my computer with my knee &amp; turned it off in the middle of a zoom lecture this morning so.....<U+0001F937><U+200D><U+2640><U+FE0F> https://t.co/JWeGpjLm8u"
"thefirstindia",6028,"#Kolkata | Calcutta High Court says that family members of #COVID19 victims be permitted to perform funeral rites of the deceased subject to them following certain precautionary guidelines to eliminate/minimise the risk of them becoming infected.

#coronavirus #Corona https://t.co/MoEbP6L28T"
"thefirstindia",6028,"#Chandigarh reports 366 new #COVID19 cases today, taking the total number of cases to 8,958 including 3,171 active cases, 101 deaths and 5,683 cured cases.

#coronavirus #Corona #Covid_19 #CoronaVirusUpdates https://t.co/nEJf6ty0jE"
"thefirstindia",6028,"#Gujarat's #COVID19 tally rises to 1,17,709 with 1,364 new cases; toll up to 3,259 as 12 more patients die: Health Department.

#coronavirus #Corona #CoronavirusIndia https://t.co/f3bhc9u4aE"
"thefirstindia",6028,"Delhi BJP Chief Adesh Gupta tests positive for #COVID19.

#Delhi #AdeshGupta #coronavirus #Corona #CoronaVirusUpdates #CoronavirusIndia https://t.co/uZnxIFTjmW"
"thefirstindia",6028,"#Gujarat | #Ahmedabad adds 165 #COVID19 cases, taking tally to 34,237; toll rises to 1,784 with three more deaths.

#GujaratCoronaUpdate #coronavirus #Corona #Covid_19 #COVID19India https://t.co/QTGFMc8NKR"
"thefirstindia",6028,"#Punjab records 2,717 new #COVID19 cases and 78 deaths, taking the total number of cases to 87,184 including 63,570 recoveries, 21,022 active cases and 2,592 deaths.

#coronavirus #Corona #CoronaVirusUpdates https://t.co/jtK5NIJm1p"
"jbormans",1295,"<U+0001F30D> @FlandersTrade is coming up w/ post #corona #subsidy packages for 1st time exporters (€7K) &amp; for more experienced exporters (€5K).

More info via one of their webinars on Sep 22 or 24: https://t.co/zx2vrBKCj2
@_GoGlobal_ #LetsGoGlobal #FIT #internationalization #export https://t.co/JUmuJBAsei"
"navimanav",10,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"quinlive",131,"2 maten #publiek #letour @LeTour #Corona"
"Sany99023843",19,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"StandForSomet10",6313,"@TheRealHoarse Angry.  My cousin died ALONE this morning of cancer. 

It didn’t have to be this way!

Angry at trump &amp; every Republican who remained silent while #TheyKnew he was &amp; IS lying. Angry at folks who still think #corona is a hoax."
"windowtonews",232,"Record 3,830 more corona cases in Kerala - Window To News https://t.co/yOM0oH3sZo 

#Thiruvananthapuram,#corona,#Shailaja"
"Shubha_Sarma",22822,"#Corona Lessons. From a friend on WhatsApp. <U+0001F603>
The 1st one is the best. Typical MBA bs. Where do you see yourself.... https://t.co/gr4zFJ0I2s"
"FuSCArgentina",420,"<U+0001F60A> Don't forget that on Friday, September 18th at 18:00 PM UCT +2, we organize a webinar on the international registry for patients with COVID-19
<U+2705> Event info <U+0001F449> https://t.co/sUlA6X102l
<U+2705> Register <U+0001F449> https://t.co/46us9nfpBj 

#covid19 #kidscorona #corona https://t.co/3lqgiD73kE"
"UkTruth2020",189,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F> Wales Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #Wales #Corona #covid19 #Covid19UK https://t.co/TXoYipAtIJ"
"UkTruth2020",189,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F> <U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C>Scotland Coronavirus (COVID-19) overview of individuals who have had at least one lab-confirmed positive test result, by date reported. #coronavirus #Scotland #Corona #covid19 #Covid19UK https://t.co/Y9zZBV7KNm"
"UkTruth2020",189,"Northern Ireland Coronavirus (COVID-19) overview of individuals who have had at least one lab-confirmed positive test result, by date reported. #coronavirus #NorthernIreland #Corona #covid19 #Covid19UK https://t.co/s4iPVnS9z8"
"AmanMahajan2016",11,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"TinaMortonWalk1",799,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F> Wales Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #Wales #Corona #covid19 #Covid19UK https://t.co/TXoYipAtIJ"
"PerseaBooks",2626,"The Pandemic seems to make things even more true and even more strange. Read what Lisa Russ Spaar writes about selfhood in the age of Covid-19 for @LAReviewofBooks! 
https://t.co/tSx7gjuNAx

#moretrulymorestrange #poetry #selfportrait #covid #covid19 #corona #therona"
"CT129",288,"Northern Ireland Coronavirus (COVID-19) overview of individuals who have had at least one lab-confirmed positive test result, by date reported. #coronavirus #NorthernIreland #Corona #covid19 #Covid19UK https://t.co/s4iPVnS9z8"
"bgiddu",2866,"Positive India: #IITGuwahati #kiosk protects against #corona @IITGuwahati 

Media: @JagranNews 

https://t.co/2iTgvLwFI7"
"NoTalkies",3,"Great things I learnt in last few days :
1. #Corona can change your gender !
2. Middle age #Bollywood actresses are still waiting to grow up 
3. It’s only in India that an anti national riot instigator is arrested and a vociferous support is launched for him. 
What did you learn?"
"BinAshry",59,"@RichLowry Hypocrisy, if a car engine is broken we have to check the pistons, the valves and or the main shaft. We never go to the transmission, the differential, or the wheels' ball bearings? The #UAE and #Bahrain might be the ball bearings! #Trump #Netanyahu #CNN #NYT #Corona"
"BinAshry",59,"@TeamTrump @kayleighmcenany @realDonaldTrump Dear Mr. President, if a car engine is broken we have to check the pistons, the valves and or the main shaft. We never go to the transmission, the differential, or the wheels' ball bearings? The #UAE and #Bahrain might be the ball bearings! #Trump #Netanyahu #CNN #NYT #Corona"
"BinAshry",59,"@haaretzcom To the President, if a car engine is broken we have to check the pistons, the valves and or the main shaft. We never go to the transmission, the differential, or the wheels' ball bearings? The #UAE and #Bahrain might be the ball bearings! #Trump #Netanyahu #CNN #NYT #Corona"
"BinAshry",59,"@IvankaTrump To the President, if a car engine is broken we have to check the pistons, the valves and or the main shaft. We never go to the transmission, the differential, or the wheels' ball bearings? The #UAE and #Bahrain might be the ball bearings! #Trump #Netanyahu #CNN #NYT #Corona"
"BinAshry",59,"@haaretzcom Agree, if a car engine is broken we have to check the pistons, the valves and or the main shaft. We never go to the transmission, the differential, or the wheels' ball bearings? The #UAE and #Bahrain might be the ball bearings! #Trump #Netanyahu #CNN #NYT #Corona"
"caduta_massi",1890,"LIVE BLOG: WTTC claims internationally coordinated plan to save travel industry expected within four weeks
https://t.co/Nue9ZfFujy via @PhocusWire #coronavirus #coronavirusupdates #covid19 #corona #travel #tourism #wttc"
"Ajay37665959",2,"I believe, theatre owners have gone mad if they are asking govt to give permission to open theatres. Govt closed theatres when 500 #Corona cases were in the country. And they are asking to open when 50lakh #Corona cases are in the country. It’s really very funny behaviour of them"
"singhalrajk",173,". @GaurangaDas is the Director of #ISKCON's @goecovillage &amp; Bhaktivedanta Research Centre #BECT is honored to host him LIVE on 25th September at 6:30 PM IST at @bectofficial and @gaunagadasofficial Facebook pages. #bect #becttalks #iskcon #bhilai #chhattisgarhnews #gita #corona https://t.co/eCTx0iVBnH"
"PlebianScot",527,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F> Wales Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #Wales #Corona #covid19 #Covid19UK https://t.co/TXoYipAtIJ"
"Vini18217419",3,"I believe, theatre owners have gone mad if they are asking govt to give permission to open theatres. Govt closed theatres when 500 #Corona cases were in the country. And they are asking to open when 50lakh #Corona cases are in the country. It’s really very funny behaviour of them"
"geniaxxxxx",0,"<U+2728><U+0001D5DC><U+0001D5FA><U+0001D5EE><U+0001D5F4><U+0001D5F6><U+0001D5FB><U+0001D5EE><U+0001D5FF><U+0001D606> <U+0001D5E6><U+0001D5F2><U+0001D5FF><U+0001D5F6><U+0001D5F2><U+0001D600><U+2728>
<U+2B50><U+FE0F>Classic <U+0001D5E3><U+0001D5F5><U+0001D5F6><U+0001D5F9><U+0001D5F9><U+0001D606> <U+0001D5DF><U+0001D5FC><U+0001D603><U+0001D5F2> <U+0001D5E3><U+0001D601>. <U+0001D7ED><U+0001D7F4><U+2B50><U+FE0F>
•
•
•
•
•
•
•
#Freakythread #FreakingRomance #Covid_19 #storytimethread #RETWEEET #storytime #series #Thread #like #threadstorytimes #philly #love #follo4follo #Corona"
"CdnAngel1970",6734,"@OrwellianTimes @Axeman55823430 @TanisMaxfield @jjhorgan @Z953VAN @DailyHiveVan @Puglaas @LauraLynnTT @SarahMcLachlan The answer:

30 people died of #COVID in Canada during the week Aug 30 to Sep 5.

28 were over 80 yrs old
1 was 60 to 79 yrs
1 was 40 to 59 yrs

5,500 people die during an average wk in Canada.

Mass psychosis run by media and politicians.

#cdnpoli #corona https://t.co/36CZvoYOEs"
"GNTLMN9",0,"WHO ELSE WANTS TO EXPERIENCE WALKING OUTSIDE AGAIN<U+0001F6B6><U+200D><U+2642><U+FE0F><U+0001F64B><U+200D><U+2642><U+FE0F>

#walking #coronavirus #corona
#outside #New"
