"screen_name","followers_count","text"
"Rehanana",2003,"Scientific American has never endorsed a presidential candidate in our 175-year history—until now. 

The 2020 election is literally a matter of life and death. We urge you to vote for health, science and Joe Biden for President.
https://t.co/8TlH7shjFn"
"snigeldrottning",224,"""12:00""

LOO<U+041F><U+0394> 3rd Mini Album [12:00]
2020.10.19 pm6 (KST) Release

#<U+C774><U+B2EC><U+C758><U+C18C><U+B140> #LOONA #Midnight

<U+0001F311> https://t.co/E8Opy1vWri"
"cordin_ratliff",1319,"See you at 1:00pm Pacific Time today for the PlayStation 5 Showcase: https://t.co/VsF1P921T8 https://t.co/MJovvx2btO"
"luvpjm_mochi",593,"Yes, we’re good listeners. Your dream colors, now on your all-new Galaxy. See it all on September 23, 2020. #SamsungEvent https://t.co/x0YcAyFbva"
"habit_daily",2,"Tarot, Gabay, Horoscope, at Pick-a-Card for September 17, 2020, Thursday... https://t.co/oIsoFcC6dv via @YouTube"
"GovernmentCyber",181,"10 biggest cybersecurity M&amp;A deals in 2020 https://t.co/3cc6WWGSok"
"homevision13",39,"Cool Tee's made on demand by fans available till 20th Sept 2020. get them&amp;other products now. dm for custom made designs for you. All proceeds from sale go to a Old Age Home.( NON PROFIT SALE) https://t.co/knnedT1CUl #Christenpress #Tobinheath #MUWomen #redbubble #woso https://t.co/5nPs3ZyM48"
"GCPIEconSec",709,"Neighborhoods where federally discriminatory lending practices once limited access to credit for Black, immigrant and poor Americans have higher rates of COVID-19 comorbidities, a new study finds. https://t.co/Cp0cA4HrQq"
"GCPIEconSec",709,"Prison inmates are four times as likely to contract COVID-19 and twice as likely to die from the virus, according to a new study by @KSchnepel and @CouncilonCJ. Nice coverage from @ejleven on @CNN 
https://t.co/6lbMInDIR5"
"MaryDianeDavis",111,"Earlier this month, twenty airmen deployed to the Middle East transferred into the U.S. Space Force.  https://t.co/WW3uohSjhX"
"yigliss",69,"Nearly two-thirds of US adults unaware 6m Jews killed in the Holocaust – study https://t.co/UAW1WzyjLD"
"tiniskwerl",1726,"<U+0001F7E0> The #SQFComplex #wildfires<U+0001F525> and smoke plumes, in #California, #USA<U+0001F1FA><U+0001F1F8> 15 Sep 2020 #Copernicus #Sentinel-2<U+0001F6F0><U+FE0F> Full-size <U+27A1><U+FE0F> https://t.co/Z8tUNAn3Aq + https://t.co/hR63j2TRHs #scicomm #OpenData #CAwx #CAFires #CaliforniaFires Image is 52 km wide https://t.co/DIBUAi8JM6"
"ANG3LICWHISP3RS",73,"Twitter I accidentally burned myself on May 13, 2020 from my head to toe and had to be life flighted for my injuries. After 3 surgeries and hospitalization I am out of work and due for another 3 surgeries! Please donate &amp; boost guys https://t.co/wa16hw6AxY"
"edwardso924",13,"China is watching you. And this is just the tip of the iceberg.
https://t.co/p1pNxCi5Kt"
"ClovisRoundup",1232,"The former Clovis High football and track athlete dazzled at the 2020 USA Powerlifting National Championships, finishing first in four Junior division events.

@NSAbarbell @gabecamarillo_ @CougarsClovis 

https://t.co/A0E9Y9W0rw"
"pollo274",1460,"#NEWS | UN High Commissioner Michelle Bachelet recognizes progress in technical cooperation with Venezuela on human rights

#SaludYEducaciónEnCasa https://t.co/aCLUGyI8n8"
"MoeChanda",17532,"Sudan's Bashir trial adjourned to September 22 https://t.co/c3jBtgSbX7

via @africanews"
"MoeChanda",17532,"Libya Uses a Bomb Disposal Robot to Clear Minefields https://t.co/9I9HjHA6mk

via @africanews"
"gnhao",46,"""12:00""

LOO<U+041F><U+0394> 3rd Mini Album [12:00]
2020.10.19 pm6 (KST) Release

#<U+C774><U+B2EC><U+C758><U+C18C><U+B140> #LOONA #Midnight

<U+0001F311> https://t.co/E8Opy1vWri"
"jthstigertales",334,"New Staff Writer, Hannah Vega, reports: Will County under IDPH restrictions https://t.co/NpH4J6iEnp"
"akfullerton",732,"'The oil-to-gold ratio points to inflation remaining subdued.' https://t.co/5E0J4dOlds via @SoberLook https://t.co/HQezllPJup"
"viettha00118981",627,"Three Black Lives Matter activists who confronted an elderly couple at a restaurant in Pittsburgh earlier this month while yelling “f**k white people” have been charged with harassment, conspiracy, and disorderly conduct.

https://t.co/htlchqCqqc"
"Cub1951",53,"Jim Caviezel, a man of faith and conviction, plays a man of faith and conviction in the first big movie to seriously confront radical Islam. https://t.co/vHZ8uuietw  https://t.co/zFsPEfaxOk"
"ByScottPowers",27617,"As the Cubs regrouped for another playoff run, Willson Contreras understood that he needed to fix one part of his game to truly become a complete catcher. The early returns, to quote tweet Yu Darvish, ""<U+0001F525><U+0001F525><U+0001F525>."" https://t.co/fFZbNk5yED"
"Emmynance",164,"Trump knew and did nothing. Now America suffers.  https://t.co/0a7xC5OHNx"
"seokpai",110,"<U+C704><U+C544><U+C774>(WEi) 1st MINI ALBUM 'IDENTITY : First Sight' CONCEPT IMAGE(i ver.)

2020.10.05 PM 6:00

#<U+C704><U+C544><U+C774> #WEi #<U+AE40><U+B3D9><U+D55C> #KIMDONGHAN #IDENTITY #First_Sight https://t.co/2ywLqdEMKk"
