"screen_name","followers_count","text"
"vharishankar95",17,"One day to go! <U+0001F4E3>

Hear @rajonthemove talk about how specific technologies can empower organizations and what tools we can use to effectively face business challenges during this #COVID era. 

Register here: https://t.co/ckS8HdsHjH https://t.co/oj1mc464Zd"
"lane_cay",2978,"Chinese virologist: China's government 'intentionally' released #COVID-19 https://t.co/TSOlBWErMx #FoxNews"
"jordanvaldes",593,"During our first #COVID-19 family vacation in #OBX I notice states differ in their #pandemic #etiquette. @washingtonpost gives advice and says going out in public without a mask is an etiquette felony. Couldn’t agree more.
https://t.co/qLRUOCIaBF"
"gdaly6246",30,"Chinese virologist: China's government 'intentionally' released #COVID-19 https://t.co/TSOlBWErMx #FoxNews"
"GhostofReason1",1120,"@essenviews #TrumpsAmerica And, despite Trump knowing how deadly #COVID is Trump holds indoor campaign rallies—makes you wonder if his supporters realize they are being used as political pawns, background affects for Trump’s re-election! https://t.co/WivWANGCGb"
"GhostofReason1",1120,"@essenviews #TrumpsAmerica And, despite Trump knowing how deadly #COVID is Trump holds indoor campaign rallies—makes you wonder if his supporters realize they are being used as political pawns, background affects for Trump’s re-election! https://t.co/WivWANGCGb"
"YndarX",70,"Chinese virologist: China's government 'intentionally' released #COVID-19 https://t.co/TSOlBWErMx #FoxNews"
"SteveSwetoha",1268,"Nonprofits like the #YMCA are working to serve more people in need through the #COVID crisis, but we need urgent #Relief4Charities to help us continue to do so. @RepTedBudd, please take action to include these bipartisan provisions in a COVID package or CR! Thank you!"
"HealthierIT",6463,"Saliva Alternative to Upper Respiratory Swabs for SARS-CoV-2 Diagnosis https://t.co/b9KdVhOvgC #COVID #diagnosis #virus https://t.co/uIYuAthR5Y"
"PortfolioPenny",3180,"Lymphopenia predicts disease severity of COVID-19: a descriptive and predictive study https://t.co/Oyzu8FhBGZ #COVID-19 #sepsis #lymphopenia https://t.co/lztI5gQyg5"
"PortfolioPenny",3180,"About Daxor's technology and blood volume analysis  https://t.co/sFGXcBg8LP #bloodvolume #cardiac #surgery #COVID-19 #criticalcare $DXR"
"RancherJack",44,"@UKCovid19Stats 3,396 new positive cases today, an increase of 48% on the 7 day figure. A deeply concerning trend,  and UK can’t wait a ‘few weeks’ to sort out test and trace. Govt, spurred on by deniers, is on the verge of losing control of #Covid-19 across the UK."
