"screen_name","followers_count","text"
"Miltondxb",109,"So far this morning, Trump has RT’d a video of a Fox News doctor lying about Dr. Fauci downplaying the transmissibility of COVID-19 and a completely fake video of Biden playing “Fuck tha Police” by NWA."
"Mister_Erv",52,"Trump undercuts GOP, calls for bigger COVID-19 relief package | TheHill https://t.co/ni0ie4XesB"
"wholetruthy",1424,"“That's why I get suspended. I get suppression. I am the target that Chinese Communist Party wants to be disappeared.""

Twitter suspends the account of a Chinese virologist who claims COVID-19 was created at the Wuhan lab. 
 https://t.co/e7sqgw1Ti4"
"wholetruthy",1424,"#Covid_19 Have you noticed this is the outline of every script in #Hollywood today 1) Nazi villain 2) Commie hero 3) Oppressed gays or another ""minority"" 4) Fierce woman to the rescue ......rinse ..repeat <U+0001F440> https://t.co/LmFOle6idJ"
"wholetruthy",1424,"#Covid_19  So every member of the US Congress survived that horrible monster invisible flu <U+0001F60E> https://t.co/qENmc0tDX5"
"liawbyy",1512,"Christ Community Health Services offering free walk-up COVID-19 testing

https://t.co/ttZvALw2ta"
"tatianavvs",253,"We trust https://t.co/rZLJZYCjPv"
"jalex23",634,"Couple of things from @fmf president Yon de Luisa’s interview with @espnmx: 

- Very unlikely for fans to return to Liga MX stadiums in Oct given present COVID-19 conditions 

- Salary cap in Liga MX not happening, partly because of the nation’s laws on such things

#ligamxeng"
"moggiekitty",1676,"So far this morning, Trump has RT’d a video of a Fox News doctor lying about Dr. Fauci downplaying the transmissibility of COVID-19 and a completely fake video of Biden playing “Fuck tha Police” by NWA."
"marnswelsh",335,"Local restrictions are being imposed in the @RCTCouncil 
area following a sharp increase in Coronavirus, Welsh Government has confirmed. The new measures take effect from 6pm tomorrow (Thursday). 
For more details please visit our website:  https://t.co/h8t9hK0Dr2…/ https://t.co/E6wrbPPhie"
"mahimaisreading",22,"WHO says herd immunity is not recommended to combat COVID-19 and yet #BorisHasFailedTheNation"
"ColMorrisDavis",161477,"The new, bipartisan COVID-19 relief plan I introduced yesterday with @ProbSolveCaucus isn't about serving the interests of one person or party — it's about serving the American people. THAT is our duty. #VA07 needs help, and I urge leadership in both parties to consider our plan. https://t.co/ZVum5J5u0K"
