"screen_name","followers_count","text"
"covidnewsCH",460,"Ten Things You Need to Know Today: Monday 21 Sep 2020, The Week #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/phPcLDcv6l"
"covidnewsCH",460,"Sterling edges lower amid second national lockdown threat - Reuters UK #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/ySY0gboWtg"
"covidnewsCH",460,"Covid 19 coronavirus: Death toll in United States #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/TclfJU1Trx"
"covidnewsCH",460,"Covid 19 coronavirus: UK science advisers warn public on infection rates, NZHerald #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/1dLdNXoZbg"
"covidnewsCH",460,"U.S. nears grim milestone of 200,000 COVID-19 deaths #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/8TGNfN1V4U"
"covidnewsCH",460,"How Covid-19 Is Killing Good Manners and What to Do About It, Hindustan Times #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/RxAdasPkyv"
"covidnewsCH",460,"The Crown Estate: revenues and property values to be ‘significantly down’ next year, The Week #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/Lh2iFAP3Hw"
"covidnewsCH",460,"The ethics czar rules on another Liberal conflict of interest of interest, https://t.co/kGQ0Azpuk5 #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/i1Q878Cgmw"
"covidnewsCH",460,"Tamil Nadu’s economy may revert to pre-Covid levels in two months says expert committee, WION #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/vB86niY7VF"
"covidnewsCH",460,"New tools, ideas needed to speed up housing strategy funding: CMHC president, CBC News #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/VvFthEFrOF"
"covidnewsCH",460,"Feluda, first desi gene-based Covid test, gets approval #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/rgXp10lMv5"
"covidnewsCH",460,"‘Everything has changed’: New Brunswick doctor describes racism, harassment after COVID-19 outbreak, Toronto Star #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/lidGRJ138X"
"covidnewsCH",460,"My day-long disastrous ordeal of trying to get a COVID test in Ontario, https://t.co/kGQ0Azpuk5 #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/UmCbB2rvXh"
"covidnewsCH",460,"Feluda: Meet Indian Sherlock Holmes, that will now confirm COVID-19 test within two hours, DNAIndia #coronavirus #COVID19 #CoronaInfoCH #Corona #COVID #COVID19 #Covid_19 #SARSCoV2 ...
https://t.co/v56YyAe5Y7"
"InkagnedoTV",6,"Follow @inkagnedotv 

#inkagnedotv <U+2063>#socialdistancing #pandemic #stayathome #covid #covid19 #corona #stayhome #lockdown #explore #corona #news #2020 #quarantine #explorepage #explorepage<U+2728> https://t.co/lckieDZWrb"
"Canadian_NL",3,"No words needed

#COVID19NL #Covid_19 #Corona #coronavirus https://t.co/pVm5HoKG7u"
"KFL3011",915,"1,935 new #Corona cases today in #Germany (up 16% since last Monday).
12,294 cases in the last 7 days (+28%)
Not a great start to the week (11 deaths).
Approx 140,000 est. in Quarantine.

But the sun will come up tomorrow... https://t.co/Pv3wCluKrX"
"CleanupTN",12959,"Door to door at #source segregation  #follow Up for proper SS   #home  composting of  wet waste #No to Burning of waste <U+0001F332> precautions from corona virus   CF Gurwinder Singh  Mann  and  Motivaters.  MC  Bathinda #SwachhSurvekshan2021  #Corona #sbm https://t.co/1U8m5igcIJ"
"shaniati",247,"#fake #sampling of #corona #test: A video of #Mathura’s CHC doctor giving more than 15 samples for Corona test for completing his sampling target goes viral. Health officials mark inquiry into the matter. @timesofindia @UPGovt @dmmathura7512 @myogiadityanath https://t.co/b044iinffd"
"risklayer",10422,"1,935 new #Corona cases today in #Germany (up 16% since last Monday).
12,294 cases in the last 7 days (+28%)
Not a great start to the week (11 deaths).
Approx 140,000 est. in Quarantine.

But the sun will come up tomorrow... https://t.co/Pv3wCluKrX"
"urs_sante",1905,"Whatsap-Nummer: +49 1516 6259785
#fixedmatch #fixedmatches #spielwetten #bet365 #mozzart #betting #bettingexpert #money #cash #bitcoin #imspiel #tipico #inplay #germany #bvb #paddypower #betfair #wetten  #corona #1xbet  #bovada #betonline #sportsbetting #skybet #williamhill #win https://t.co/qyxsIzTvuX"
"maraudingmatron",135,"#Breaking: Four Israeli hospitals, including Jerusalem's two@main hospitals, Hadassa &amp; Shaarey Tzedek (plus Assuta Ashdod &amp; the Western Galilee Medical Center) can jo longer take in #corona patients. https://t.co/H15xpFgaiP"
"GarciaSineriz",10,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0065><U+000E006E><U+000E0067><U+000E007F><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F><U+000E007F><U+000E0067><U+000E0062> England Coronavirus (COVID-19) overview of individuals who have had at least one lab-confirmed positive test result, by date reported. #coronavirus #England #Corona #covid19 #Covid19UK https://t.co/GfRwgQopUt"
"GarciaSineriz",10,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0065><U+000E006E><U+000E0067><U+000E007F><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F><U+000E007F><U+000E0067><U+000E0062> England Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #England #Corona #covid19 #Covid19UK https://t.co/vXfGnY9TbX"
"GarciaSineriz",10,"<U+0001F1EC><U+0001F1E7> United Kingdom Coronavirus (COVID-19) overview of individuals who have had at least one lab-confirmed positive test result, by date reported. #coronavirus #UK #Corona #covid19 #Covid19UK https://t.co/V1MQsPfFmZ"
"HinduNatl",3044,"Why hospitals under #DelhiGovt are not updating details of #Covid_19 beds and #ventilators on #Delhi government's #Corona app 

Huge inconvenience to patients
@drharshvardhan @narendramodi_in 
@CharityBeds_ @ua_shirin @dharam2509 @sachar_saurabh"
"kk131066",26384,"https://t.co/AsKjAgFPI0

<U+2B06> suggests - #Democrats are not clear about what #Trump full-term means

They may not see a huge range of negative consequences that may rule out the chances of recovery 

#TrumpIsNotWell #Corona #TrumpLies #Resist #Resistance #Facts #Fact #Truth"
"kk131066",26384,"OPTIMISM &amp; HOPE
are powerful weapons to defeat
the DEVIL

But they don't work without 1 component
#knowledge 

When #people are not clear about the situation
OPTIMISM &amp; HOPE
are useless

#RemoveTrump
b4 #2020Election

#Trump #TrumpIsNotWell #TrumpVirus #Corona #Resist #Facts https://t.co/zDtpB87aT4"
"kk131066",26384,"https://t.co/AsKjAgFPI0

<U+2B06> suggests - #Democrats are not clear about what #Trump full-term means

They may not see a huge range of negative consequences that may rule out the chances of recovery 

#TrumpIsNotWell #Corona #TrumpLies #Resist #Resistance #Facts #Fact #Truth"
"kk131066",26384,"We are free only when we are
HONEST with ourselves

Everything is interconnected
If #people are reluctant to face #Truth
CANNOT save their country

#RemoveTrump

#Trump #TrumpIsALiar #TraitorTrump #TrumpVirus #TrumpKnewAndDidNothing #TrumpIsALoser #Corona #Resistance #Facts #Fact https://t.co/XItmzXmesv"
"kk131066",26384,"OPTIMISM &amp; HOPE
are powerful weapons to defeat
the DEVIL

But they don't work without 1 component
#knowledge 

When #people are not clear about the situation
OPTIMISM &amp; HOPE
are useless

#RemoveTrump
b4 #2020Election

#Trump #TrumpIsNotWell #TrumpVirus #Corona #Resist #Facts https://t.co/zDtpB87aT4"
"T0pJohn",25,"In Her Eyes (#Corona Time) - #OriginalSong by Here 24 https://t.co/NcZ4rjIUTi via @YouTube"
"PalakPradhan1",19,"Please stay home, don't go outside if possible and follow the precautions.

#standwithjbp #COVID19 #Corona #Corona #jabalpur https://t.co/B9gZlZJteU"
"UdjoOnome",1123,"@jibransiddiqui Post anything blue from your gallery

Early morning at the setup preparation of last event before #Corona 3 March 2010... #ShangrilaDubai #ForbesMiddleEast #TheStoryTeller https://t.co/UHgQGo9To5"
"SweetCookiesme",428,"Why hospitals under #DelhiGovt are not updating details of #Covid_19 beds and #ventilators on #Delhi government's #Corona app 

Huge inconvenience to patients
@drharshvardhan @narendramodi_in 
@CharityBeds_ @ua_shirin @dharam2509 @sachar_saurabh"
"Y_E_D_Y",577,"Wo ist #Corona ? / Where is Corona? <U+0001F62C> #covid #coronavirus https://t.co/TQAVmnA7ew"
"adamkokesh",57267,"Did my first post on @YouTube for the AVTM podcast today since being banned. Covered the study saying 1/3 of Americans have cut someone off over #CORONA. Just remember, if not for censorship, you would be hearing, ""reach out &amp; love each other"" a lot more.

https://t.co/DK7Nezk676"
"adamkokesh",57267,"Did my first post on @YouTube for the AVTM podcast today since being banned. Covered the study saying 1/3 of Americans have cut someone off over #CORONA. Just remember, if not for censorship, you would be hearing, ""reach out &amp; love each other"" a lot more.

https://t.co/DK7Nezk676"
"CLOliver101",87,"Well, WTF is going on? #coronavirus #Corona #COVID19 https://t.co/s8CmHjY9BS"
"HopefulShelter",257,"Why hospitals under #DelhiGovt are not updating details of #Covid_19 beds and #ventilators on #Delhi government's #Corona app 

Huge inconvenience to patients
@drharshvardhan @narendramodi_in 
@CharityBeds_ @ua_shirin @dharam2509 @sachar_saurabh"
"henrihaan",365,"Break: Dutch celebrities started social media campaign 'I no longer participate' (#ikdoenietmeermee) in response to corona measures in the Netherlands drawn up by the Dutch government. They let millions of followers know... #Corona https://t.co/4TvUqvtIvF"
"VinceHepburn",112,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0065><U+000E006E><U+000E0067><U+000E007F><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F><U+000E007F><U+000E0067><U+000E0062> England Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #England #Corona #covid19 #Covid19UK https://t.co/vXfGnY9TbX"
"finbarrstuds",965,"Another Lockdown ???

Retweets Appreciated  - #Lockdown2 #Corona @BorisJohnson"
"bigshano1994",998,"Navy swift face masks with a cotton white lining. Great for sensitive skin! #swift #Swifties #navy #EtsySocial #etsyshop #Promote #facemasks #lockdownUK #lockdown #lockdowns #SecondLockdown #SecondWave #Autumn #Corona #Covid_19 #uk #HandmadeInUK https://t.co/2dsL8GAYvE"
"leslie_bridgers",185,"Bad Hair Month <U+2702><U+FE0F> #Corona #srfdeville https://t.co/CwyJHFme9f"
"JulieAisyah2",48,"@JulieAisyah2 THE TRUTH! #Covid19 is #madeinChina #Wuhan
https://t.co/2g95tIatTF  

#Tiongkok #Viral #Tiktok #AmazingChina #CCPvirus #RECEHKANTWITTER #Trending #CCP #Corona  China has been testing these kind of viruses since 2014. And it's not over yet they would try this again."
"andisarinahrri",3192,"Waduh! Tower 5 Wisma Atlet Hampir Penuh Pasien OTG

#wismaatlet #Isolasi #OTG #Jakarta 
#Corona #coronavirus #COVID19 #COVID<U+30FC>19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMCoid 

https://t.co/IXny0PnBPG"
"HumanV",435,"I wrote Corona In February.  There was only one case in the USA.  Song is prescient.  Check it out.

https://t.co/YemHp4FhNc
#coronavirus #CoronavirusPandemic #Corona #centralvalleyofcalifornia"
"ICE_ARMADA",1776,"@ClimateRealists @MailOnline #SOLAR #Corona #lockdown 
Worldwide Governments panic as the Sun is silent
#grandsolarminimum #Fear"
"Bryan527Bryan",3775,"Another Lockdown ???

Retweets Appreciated  - #Lockdown2 #Corona @BorisJohnson"
"randkmegroup",1147,"We are approaching a second peak in the pandemic. Hundreds of thousands of people, healthy, fit and young are about to lose their lives to chronic illness and they don’t know it yet. All because of decades of stigma, ignorance and neglect #Corona #LongCovid  #meawarenesshour"
"Parzevale",2,"@MrsMarryPoppins War is Peace, Freedom is Slavery, Ignorance is Strength
https://t.co/ZKlpsJo4hn
#Covid_19 #Covid #Corona #WearAMask #COVID1984"
"Parzevale",2,"@AshleyEsqueda
War is Peace, Freedom is Slavery, Ignorance is Strength
https://t.co/ZKlpsJo4hn
#Covid_19 #Covid #Corona #WearAMask #COVID1984"
"Parzevale",2,"War is Peace, Freedom is Slavery, Ignorance is Strength

#Covid_19 #Covid #Corona #WearAMask #COVID1984"
"jaxxwright45",43,"This is thread is an essential &amp; urgent read for every politician, every journalist &amp; every campaigner, not just in the UK &amp; US, but around the world.

Please read, share &amp; DM us if you want/can to help.
#Palantir #COVID #COVID19 #COVID__19 #Corona #coronavirus #ThisIsNotADrill https://t.co/kmvOgcPf8x"
"CfsMunster",421,"We are approaching a second peak in the pandemic. Hundreds of thousands of people, healthy, fit and young are about to lose their lives to chronic illness and they don’t know it yet. All because of decades of stigma, ignorance and neglect #Corona #LongCovid  #meawarenesshour"
"himanshusethi86",677,"Despite #corona, @FBDPolice everywhere on the job. Thanks to the #people of #Faridabad for their support and encouragement! https://t.co/Qj34uHfAzw"
"CasperBeWin1",3770,"THE TRUTH! #Covid19 is #madeinChina #Wuhan
https://t.co/rJkkvvNafe  

#Tiongkok #Viral #Tiktok #AmazingChina #CCPvirus #RECEHKANTWITTER #Trending #CCP #Corona"
"BjpEastdelhi",741,"Why hospitals under #DelhiGovt are not updating details of #Covid_19 beds and #ventilators on #Delhi government's #Corona app 

Huge inconvenience to patients
@drharshvardhan @narendramodi_in 
@CharityBeds_ @ua_shirin @dharam2509 @sachar_saurabh"
"lowpoly_tweeter",1108,"let's stop coronavirus spreading #coronavirus #covid19 #corona #virus #covid #quarantine #stayathome  #pandemic #stayhome #<U+043A><U+043E><U+0440><U+043E><U+043D><U+0430><U+0432><U+0438><U+0440><U+0443><U+0441> #<U+043A><U+0430><U+0440><U+0430><U+043D><U+0442><U+0438><U+043D> #<U+0441><U+0442><U+043E><U+043F><U+043A><U+043E><U+0440><U+043E><U+043D><U+0430><U+0432><U+0438><U+0440><U+0443><U+0441> #gamedev #indiedev #indiewatch #indieGameTrends #unity #unity3D #madewithunity #lowpoly #towerdefense #game https://t.co/dfcowHuRTx"
"ArnavBajaj9",71,"let's stop coronavirus spreading #coronavirus #covid19 #corona #virus #covid #quarantine #stayathome  #pandemic #stayhome #<U+043A><U+043E><U+0440><U+043E><U+043D><U+0430><U+0432><U+0438><U+0440><U+0443><U+0441> #<U+043A><U+0430><U+0440><U+0430><U+043D><U+0442><U+0438><U+043D> #<U+0441><U+0442><U+043E><U+043F><U+043A><U+043E><U+0440><U+043E><U+043D><U+0430><U+0432><U+0438><U+0440><U+0443><U+0441> #gamedev #indiedev #indiewatch #indieGameTrends #unity #unity3D #madewithunity #lowpoly #towerdefense #game https://t.co/dfcowHuRTx"
"designbynabs",1,"Navy swift face masks with a cotton white lining. Great for sensitive skin! #swift #Swifties #navy #EtsySocial #etsyshop #Promote #facemasks #lockdownUK #lockdown #lockdowns #SecondLockdown #SecondWave #Autumn #Corona #Covid_19 #uk #HandmadeInUK https://t.co/2dsL8GAYvE"
"vectorshark3",352,"@AshleyEsqueda
War is Peace, Freedom is Slavery, Ignorance is Strength
https://t.co/ZKlpsJo4hn
#Covid_19 #Covid #Corona #WearAMask #COVID1984"
"galaxiefilm",52,"Trump’s pandemic response is now a worldwide embarrassment--#Corona #CoronavirusPandemic #Covid #Covid_19 #SARSCoV2 #SARS_CoV_2 #TrumpLiesEverytimeHeSpeaks #TrumpLiesPeopleDie #TrumpOwnsEveryDeath #GOPBetrayedAmerica #GOPCorruptionOverCountry #BidenHarris

https://t.co/eOra3IiwdU"
"kcabral28",104,"Wall-mounted technology detects COVID-19 in the air https://t.co/Ea4DrcPNGH #Covid_19 #coronavirus #Corona #Covid #BioCloud #technology #technews — @Kontrolenergy https://t.co/47YxjptHlV"
"sleeksorrow",578,"#France #Coronavirus Update: 12/09
A new record (Ø 84)! :(
- 84 #Corona cases / 100000 ppl / 7 days
- 56,205 new cases in 7 days.
- 10,561 new cases today. #Record
- 17 deaths today
- 2,432 hospitalised in 7D.
Trend: 100 / 100000 / 7 days around 16-18. Sept.
- 9 regions over 50. https://t.co/E8eKoEXZx8"
"Kimabdalian",509,"A 60-year-old Bahraini woman has died from Covid-19.

This takes today's tally to three and the total number of fatalities in the kingdom to 224.

Earlier today, the ministry announced the death of an 80-year-old Bahraini man and
a 76-year-old Bahraini woman.

#Bahrain #Corona https://t.co/1Yf2Q3nVPO"
"markgerardcox",481,"Landed at Copenhagen Airport yesterday at 16:00, collected luggage and had a Covid test before 17:15, just got the test result. 

Negative again thankfully, that’s 4 for 4 <U+0001F4AA>

#Corona #test #TestAndTrace #StaySafe"
"topical_talk",438,"<U+0001F4E3> New Podcast! ""Episode 192: Humans Are Capable Of Anything Depending On The Environment"" on @Spreaker #corona #incompetence #obesity #pandemic #penalty #snitch #vaccine https://t.co/KjsJku6tte"
"AdhaPao",154,"@IndianExpress @ExSecular What is the need to hit the streets during #Corona, just few press conferences would do the job, better if they can expose those goons #SanjaySinghGunda, #DerekOBrien... doing nautanki in parliament"
"JoAnnDwyer5",3681,"...and after they are stocked, let’s stock the teachers and other essential workers! <U+0001F64F><U+0001F3FC> #COVID19 #Covid_19 #coronavirus #Corona #N95masks https://t.co/pv8zyVIjYa"
"JomirBrands",101,"you should've said this earlier
#corona https://t.co/7zGYNAgKcG"
"EyeDkartik",6,"I fail to understand why .@CMODelhi #kejriwal jis government is reducing #Corona testing in Delhi , just to show reduced number of cases and fool the People of Delhi. Tests done today -33733 which is 18672 less than yesterday. https://t.co/o3OEzRlkG3"
"chetansharma365",833,"Why hospitals under #DelhiGovt are not updating details of #Covid_19 beds and #ventilators on #Delhi government's #Corona app 

Huge inconvenience to patients
@drharshvardhan @narendramodi_in 
@CharityBeds_ @ua_shirin @dharam2509 @sachar_saurabh"
"sunilkapoor8",5164,"Why hospitals under #DelhiGovt are not updating details of #Covid_19 beds and #ventilators on #Delhi government's #Corona app 

Huge inconvenience to patients
@drharshvardhan @narendramodi_in 
@CharityBeds_ @ua_shirin @dharam2509 @sachar_saurabh"
"git_merge_pls",1,"Decided to re-read the dark materials series by @PhilipPullman this year since I had time and enjoyed it as a kid, and yeah... of course it's called that <U+0001F602> #corona https://t.co/b6T2QZ5MHX"
"giggs_boson",4759,"Dr Guido Hoffman: 

""Shame on you, for the psychological damage you're doing to children""

#Corona #Covid19UK https://t.co/koEjn15xJq"
"GetMyGist",1006,"@NetworkingABCC @TorontoStar Tested regularly?

OK, you get swabbed (only ideal for organ-matching right @SickKidsGlobal &amp; @UofT) &amp; then 1 min later you INHALE the virus.

#Corona is WIDESPREAD in nature &amp; ""no one died FROM it (S. Alexov)"". 

At any time ~200 viruses on <U+0001F30E>.

We'll NEVER sterilize the planet. https://t.co/FwS42a7S8y"
"GetMyGist",1006,"@NetworkingABCC @TorontoStar Tested regularly?

OK, you get swabbed (only ideal for organ-matching right @SickKidsGlobal &amp; @UofT) &amp; then 1 min later you INHALE the virus.

#Corona is WIDESPREAD in nature &amp; ""no one died FROM it (S. Alexov)"". 

At any time ~200 viruses on <U+0001F30E>.

We'll NEVER sterilize the planet. https://t.co/FwS42a7S8y"
"WomenAFrontiers",3809,"WAF Spotlights:
#Corona Chronicles, by  #Americanartist Luisa Adelfio. 
A provocative and powerful series of drawings executed on the poignant May 24, 2020 edition of @nytimes, commemorating the first 100,000 deaths in the US from  #coronavirus. 
On view @Otros360 in #Bogota. https://t.co/P9Hxk9raMY"
"Wayne_Pickard",82,"That moment when you realize The Last Man on Earth is actually the story of the CoronaVirus. #Corona #TheLastManOnEarth #Coronavirus https://t.co/BIJWrXgiqN"
"WinterOakPress",6322,"Support this local group in Birkenhead 3rd October 2020. 

#lockdowns #birkenhead #wedonotconsent #StandUpX #Corona #masks #vaccines https://t.co/qBTeA845By"
"matrimc_brf",1464,"@UshaNirmala Those migrants insisted of going back home with instigation of some longed for anarchy at that critical hour....having not found any means of livelihood, came back to find most of them jobless with small industries &amp; outlets shutting down. #Corona exploded in the whole process"
"houndtang",122,"Just remember that when #BLM organised protests in #London, #SadiqKhan politely asked them to do a bit of #SocialDistancing.
Now, ahead of #antilockdownprotest, he wants to put the City on #lockdown.
Is it really about #COVID19? Or has #Corona been compromised by politics?"
"kashif_baig",990,"@jibransiddiqui Post anything blue from your gallery

Early morning at the setup preparation of last event before #Corona 3 March 2010... #ShangrilaDubai #ForbesMiddleEast #TheStoryTeller https://t.co/UHgQGo9To5"
"MbaDeakin",14,"<U+0001F3F4><U+000E0067><U+000E0062><U+000E0065><U+000E006E><U+000E0067><U+000E007F><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F><U+000E007F><U+000E0067><U+000E0062> England Coronavirus (COVID-19) overview of deaths of people who have died within 28 days of a first positive test, by date reported. #coronavirus #England #Corona #covid19 #Covid19UK https://t.co/vXfGnY9TbX"
